suite,algorithm,event_aware,sequence,layout,bucket_mode,buckets_x,buckets_y,threshold,noise_std,reset_x_low,reset_x_high,reset_y_low,reset_y_high,horizon,seeds,train_episodes,eval_episodes,success_mean,success_min,success_max,average_length_mean,first_perfect_eval_episode_mean,training_successes_mean,event_count_means,source
continuous_corridor_algorithm_comparison,QL,True,AB,open,uniform,10,4,8,0.003,0.45,0.55,0.42,0.58,80,1700 1701 1702 1703 1704 1705 1706 1707 1708 1709,300,100,1.000000,1.000000,1.000000,7.790000,25.000000,279.100000,"{""A"": 1342.6, ""B"": 704.6}",local sweep with multiagent-rl-rm commit ef62e9c44489aabd8f013c9a8bc128bea3114b0d
continuous_corridor_algorithm_comparison,QRM,True,AB,open,uniform,10,4,8,0.003,0.45,0.55,0.42,0.58,80,1700 1701 1702 1703 1704 1705 1706 1707 1708 1709,300,100,1.000000,1.000000,1.000000,7.681000,25.000000,280.800000,"{""A"": 1287.3, ""B"": 679.6}",local sweep with multiagent-rl-rm commit ef62e9c44489aabd8f013c9a8bc128bea3114b0d
continuous_corridor_algorithm_comparison,RMAX,True,AB,open,uniform,10,4,8,0.003,0.45,0.55,0.42,0.58,80,1700 1701 1702 1703 1704 1705 1706 1707 1708 1709,300,100,0.706000,0.000000,1.000000,8.176667,57.142857,183.500000,"{""A"": 496.4, ""B"": 1650.9}",local sweep with multiagent-rl-rm commit ef62e9c44489aabd8f013c9a8bc128bea3114b0d
continuous_corridor_algorithm_comparison,QRMAX,True,AB,open,uniform,10,4,8,0.003,0.45,0.55,0.42,0.58,80,1700 1701 1702 1703 1704 1705 1706 1707 1708 1709,300,100,0.999000,0.990000,1.000000,12.569354,47.500000,268.300000,"{""A"": 600.9, ""B"": 481.9}",local sweep with multiagent-rl-rm commit ef62e9c44489aabd8f013c9a8bc128bea3114b0d
continuous_corridor_hard_algorithm_comparison,QL,True,AB,open,event-aligned,10,6,18,0.006,0.45,0.55,0.1,0.9,80,1810 1811 1812 1813 1814 1815 1816 1817 1818 1819,400,100,1.000000,1.000000,1.000000,11.403000,92.500000,345.700000,"{""A"": 1468.8, ""B"": 760.1}",local sweep with multiagent-rl-rm commit ef62e9c44489aabd8f013c9a8bc128bea3114b0d
continuous_corridor_hard_algorithm_comparison,QRM,True,AB,open,event-aligned,10,6,18,0.006,0.45,0.55,0.1,0.9,80,1810 1811 1812 1813 1814 1815 1816 1817 1818 1819,400,100,1.000000,1.000000,1.000000,11.192000,52.500000,362.100000,"{""A"": 1309.2, ""B"": 701.4}",local sweep with multiagent-rl-rm commit ef62e9c44489aabd8f013c9a8bc128bea3114b0d
continuous_corridor_hard_algorithm_comparison,RMAX,True,AB,open,event-aligned,10,6,18,0.006,0.45,0.55,0.1,0.9,80,1810 1811 1812 1813 1814 1815 1816 1817 1818 1819,400,100,0.905000,0.050000,1.000000,11.663000,355.555556,141.100000,"{""A"": 1185.1, ""B"": 950.7}",local sweep with multiagent-rl-rm commit ef62e9c44489aabd8f013c9a8bc128bea3114b0d
continuous_corridor_hard_algorithm_comparison,QRMAX,True,AB,open,event-aligned,10,6,18,0.006,0.45,0.55,0.1,0.9,80,1810 1811 1812 1813 1814 1815 1816 1817 1818 1819,400,100,1.000000,1.000000,1.000000,10.497000,182.500000,245.700000,"{""A"": 1186.6, ""B"": 1059.1}",local sweep with multiagent-rl-rm commit ef62e9c44489aabd8f013c9a8bc128bea3114b0d
continuous_corridor_bottleneck_smoke,QRMAX,True,AB,bottleneck,uniform,10,4,8,0.0,0.4,0.46,0.42,0.58,100,1850 1851 1852 1853 1854,300,50,0.980000,0.920000,1.000000,7.040937,55.000000,277.800000,"{""A"": 715.4, ""B"": 448.8}",local sweep with multiagent-rl-rm commit ef62e9c44489aabd8f013c9a8bc128bea3114b0d
continuous_corridor_bottleneck_transition_probed,QRMAX,True,AB,bottleneck,transition-probed,12,8,10,0.003,0.4,0.46,0.2,0.8,120,1850 1851 1852 1853 1854,800,50,1.000000,1.000000,1.000000,8.784000,240.000000,661.000000,"{""A"": 2455.8, ""B"": 1673}",local sweep with multiagent-rl-rm commit ef62e9c44489aabd8f013c9a8bc128bea3114b0d
continuous_corridor_abc_algorithm_comparison,QL,True,ABC,open,event-aligned,12,4,10,0.003,0.45,0.55,0.42,0.58,120,1900 1901 1902 1903 1904,250,50,1.000000,1.000000,1.000000,16.720000,70.000000,194.800000,"{""A"": 1976.4, ""B"": 3040.6, ""C"": 324}",local sweep with multiagent-rl-rm commit ef62e9c44489aabd8f013c9a8bc128bea3114b0d
continuous_corridor_abc_algorithm_comparison,QRM,True,ABC,open,event-aligned,12,4,10,0.003,0.45,0.55,0.42,0.58,120,1900 1901 1902 1903 1904,250,50,1.000000,1.000000,1.000000,16.516000,25.000000,218.600000,"{""A"": 1537.8, ""B"": 2849.8, ""C"": 266.4}",local sweep with multiagent-rl-rm commit ef62e9c44489aabd8f013c9a8bc128bea3114b0d
continuous_corridor_abc_algorithm_comparison,QRMAX,True,ABC,open,event-aligned,12,4,10,0.003,0.45,0.55,0.42,0.58,120,1900 1901 1902 1903 1904,250,50,1.000000,1.000000,1.000000,16.320000,110.000000,165.600000,"{""A"": 835, ""B"": 1317.2, ""C"": 545.4}",local sweep with multiagent-rl-rm commit ef62e9c44489aabd8f013c9a8bc128bea3114b0d
