map,experiment,q_learning,r_max,qr_max,qrm,r_maxrm,qr_maxrm,average_length_vi,success_rate_vi_percent,source
Map1,exp1,128973,59691,30376,66693,21777,10964,21.08,66.76,Table 4
Map1,exp2,201835,77797,27619,129804,26232,9339,39.31,39.40,Table 4
Map1,exp3,355070,155347,30325,122827,28682,6087,40.94,38.68,Table 4
Map1,exp4,469313,103211,29950,135119,26953,6062,42.23,34.37,Table 4
Map1,exp5,1267449,287066,38312,231870,30238,4107,77.86,15.47,Table 4
Map2,exp1,334894,213942,83593,225491,74250,28729,52.46,54.69,Table 4
Map2,exp2,326306,88636,56445,220334,49577,19214,53.10,37.92,Table 4
Map2,exp3,723051,316672,62583,280763,63066,12415,63.04,37.25,Table 4
Map2,exp4,889842,196334,61775,249912,47873,12445,73.80,28.18,Table 4
Map2,exp5,2613669,723441,83076,438213,65523,8396,123.39,14.15,Table 4
Map3,exp1,501559,201731,98663,297975,73832,33815,55.83,33.32,Table 4
Map3,exp2,553517,170926,99952,353658,66949,33853,63.76,32.57,Table 4
Map3,exp3,1105417,388562,110808,406122,111349,21856,68.69,32.42,Table 4
Map3,exp4,1466896,495878,112165,449594,107115,21869,81.91,21.27,Table 4
Map3,exp5,5471046,1581301,159597,891160,128950,14717,156.46,6.55,Table 4
